dataset_category_train,dataset_category_test,precision_macro,recall_macro,f1_macro
stormfront_post,stormfront_post,0.7323918264,0.5749225969,0.583481092
ami,ami,0.7698790278,0.7528830042,0.7557462555
trac_covert,trac_covert,0.5786046408,0.5055832133,0.4156807345
trac_overt,trac_overt,0.690230523,0.5217429666,0.4856993897
trac_aggr,trac_aggr,0.6437915501,0.5713671116,0.5379837552
offenseval,offenseval,0.7750894779,0.5763919682,0.5512964134
hateval_hate,hateval_hate,0.7327678242,0.696971599,0.6994834211
hateval_aggression,hateval_aggression,0.7236637612,0.6046964902,0.6172462276
zeerak_hate,zeerak_hate,0.7834944251,0.7173549032,0.7348212448
zeerak_racism,zeerak_racism,0.8411258623,0.8019592765,0.8196672375
zeerak_sexism,zeerak_sexism,0.8362259451,0.6977994079,0.7356165319
davidson_hate,davidson_hate,0.4711495781,0.5,0.4851462521
davidson_offensive,davidson_offensive,0.825983349,0.8770430651,0.8461372037
davidson_toxicity,davidson_toxicity,0.8193743659,0.90050672,0.8507069524
founta_hateful,founta_hateful,0.4776022012,0.5,0.4885445231
founta_abusive,founta_abusive,0.9075121375,0.8886218905,0.8975685856
founta_toxicity,founta_toxicity,0.9155613149,0.8611910559,0.8834122164
